N	F0	m	d_ms	d0	v0	prob	collision	Int_dv1	Int_dv2	Int_dv3	Int_dv4	Int_dv5	Int_dv6	Int_dv7	Int_dd2	Int_dd3	Int_dd4	Int_dd5	Int_dd6	Int_dd7	duration	freq	ampl	attack	Fresponse
8	800	1000	1	7	54	0.01	0	18.584278	27.878083	19.808794	13.990890	8.018326	7.299230	6.611473	72.806006	68.390464	43.128805	48.242167	10.790943	15.256263	4.456868	0.365688	3.427946	1	-5545
8	800	1000	1	7	96	0.01	0	59.928988	88.165315	72.293091	43.154874	19.233420	17.197893	14.826898	169.447537	263.417168	235.216904	235.800106	43.776524	28.362206	3.808310	0.328694	3.658666	1	-9469
8	800	1000	1	7	63	0.01	0	64.694065	118.400981	68.433839	37.681008	12.299928	10.330009	8.770101	393.701433	361.705969	244.558675	233.693038	20.837996	18.963177	2.154689	1.482693	2.523194	1	-5654
8	800	1000	1	5	53	0.01	0	57.764231	76.001428	35.476064	14.670136	9.464662	9.332382	8.765314	124.165746	311.599256	154.468265	47.102844	10.644474	10.409017	0.962700	1.957604	2.568651	1	-7361
8	800	1000	1	9	80	0.01	0	78.424034	143.276932	114.335062	50.833016	18.592232	11.384943	9.243814	486.888859	219.627570	483.820450	286.675921	73.800095	25.945405	2.039094	1.375604	1.693976	1	-5953
8	800	1000	1	5	65	0.01	0	27.305974	41.337845	33.366336	28.140801	19.691022	14.000574	8.704174	96.879811	57.223030	41.047671	67.257272	44.054877	44.040586	3.321705	0.618012	1.321802	1	-3066
8	800	1000	1	7	50	0.01	0	36.441880	27.828707	24.532268	14.724901	13.213770	10.452810	9.290528	119.072179	40.226397	87.799150	19.457309	29.172288	16.872984	1.765136	2.588458	2.998230	1	-4256
8	800	1000	1	7	84	0.01	0	45.699371	68.901405	40.638537	26.715703	17.688754	14.079723	11.031124	142.639450	206.319510	100.660869	79.897228	30.635925	26.391251	1.263726	0.264263	2.970351	1	-6974
8	800	1000	1	6	86	0.01	0	48.403476	29.623385	16.724852	17.949807	12.791255	12.682643	12.115628	162.367051	140.826957	37.915972	73.401545	6.285857	22.303366	2.717859	1.702094	4.040727	1	-3030
8	800	1000	1	6	90	0.01	0	46.134903	72.140639	60.559614	45.603108	32.329864	18.482114	13.406892	179.169805	82.991378	109.045683	111.099276	103.657887	39.352125	0.246999	2.422159	0.789087	1	-5260
8	800	1000	1	5	63	0.01	0	79.825178	121.662686	42.325704	27.011556	7.967991	8.450291	5.855938	280.072980	564.225768	115.097152	168.613898	10.262052	33.625923	4.602521	2.013007	1.032441	1	-8038
8	800	1000	1	7	94	0.01	0	59.914227	95.278316	71.563595	57.923687	36.273274	22.906919	19.015188	241.285493	169.266648	103.717674	187.829014	105.269634	31.844740	1.533198	1.569515	0.605335	1	-7490
8	800	1000	1	5	96	0.01	0	94.164294	170.145113	131.113010	57.399211	21.040359	13.805408	9.517681	562.452528	289.516574	548.205690	324.428265	70.954551	46.384981	4.880517	1.566152	1.379208	1	-7203
8	800	1000	1	9	91	0.01	0	94.357304	151.069480	72.873712	47.097097	12.396111	10.661527	8.045420	396.714588	573.856614	182.823996	277.316205	23.179650	26.874138	4.057295	2.513938	1.058672	1	-9839
8	800	1000	1	5	88	0.01	0	15.744660	21.360399	13.037395	11.461188	11.128140	12.024737	11.405973	31.054806	79.628407	36.773725	22.343976	9.464957	9.670135	1.892993	2.639525	4.050890	1	-3194
8	800	1000	1	7	87	0.01	0	38.971010	62.837574	50.366440	38.608624	31.946749	26.659125	25.441933	180.475342	89.853386	105.925456	78.389192	49.400733	19.615873	2.103546	2.529072	3.613620	1	-4433
8	800	1000	1	8	95	0.01	0	121.200535	231.937374	180.215300	108.630612	32.439979	14.378820	12.697233	920.740560	437.424696	616.421456	818.138343	195.774579	26.935205	3.455095	1.096463	0.684301	1	-7324
8	800	1000	1	8	62	0.01	0	65.431242	102.151418	48.777544	30.975471	11.529992	7.920023	6.174567	256.182810	391.123194	130.798757	153.314822	38.305931	17.385593	2.844371	2.119742	1.384838	1	-6425
8	800	1000	1	5	75	0.01	0	50.996757	74.574981	61.545874	41.274302	22.218854	17.623085	15.838794	160.609802	103.021529	163.117546	143.663985	45.352814	16.663743	1.783978	1.164699	4.716269	1	-5794
